lambda,alpha, aic 
0.5,0,3331
0.75,0,4013
1.13,0,4417
1.69,0,4669
2.53,0,4835
3.8,0,5375
5.7,0,5409
8.54,0,5583
12.81,0,5559
19.22,0,5787
28.83,0,5929
43.25,0,6083
64.87,0,6211
97.31,0,8269
145.96,0,8339
218.95,0,8841
328.42,0,9349
492.63,0,9437
738.95,0,9891
0.5,0.2,3503
0.75,0.2,4115
1.13,0.2,4663
1.69,0.2,4993
2.53,0.2,5469
3.8,0.2,7271
5.7,0.2,7389
8.54,0.2,8791
12.81,0.2,9055
19.22,0.2,9137
28.83,0.2,9401
43.25,0.2,9511
64.87,0.2,9533
97.31,0.2,10161
145.96,0.2,10667
218.95,0.2,10823
328.42,0.2,11017
492.63,0.2,11405
738.95,0.2,11465
0.5,0.4,3751
0.75,0.4,4409
1.13,0.4,4845
1.69,0.4,5167
2.53,0.4,6579
3.8,0.4,6737
5.7,0.4,7691
8.54,0.4,7853
12.81,0.4,8825
19.22,0.4,8935
28.83,0.4,9217
43.25,0.4,9295
64.87,0.4,9365
97.31,0.4,10173
145.96,0.4,10495
218.95,0.4,10785
328.42,0.4,10827
492.63,0.4,11327
738.95,0.4,11397
0.5,0.6,3849
0.75,0.6,4589
1.13,0.6,5015
1.69,0.6,6415
2.53,0.6,6703
3.8,0.6,6881
5.7,0.6,7443
8.54,0.6,7571
12.81,0.6,8735
19.22,0.6,8707
28.83,0.6,8751
43.25,0.6,9279
64.87,0.6,9865
97.31,0.6,10351
145.96,0.6,10661
218.95,0.6,10757
328.42,0.6,11159
492.63,0.6,11297
738.95,0.6,11577
0.5,0.8,4203
0.75,0.8,4823
1.13,0.8,6021
1.69,0.8,6279
2.53,0.8,6551
3.8,0.8,7479
5.7,0.8,7641
8.54,0.8,8025
12.81,0.8,8791
19.22,0.8,8801
28.83,0.8,8855
43.25,0.8,9887
64.87,0.8,10231
97.31,0.8,10303
145.96,0.8,10353
218.95,0.8,10763
328.42,0.8,10871
492.63,0.8,11313
738.95,0.8,11335
0.5,1,4219
0.75,1,4957
1.13,1,5689
1.69,1,5991
2.53,1,6247
3.8,1,7029
5.7,1,7159
8.54,1,7605
12.81,1,8551
19.22,1,8729
28.83,1,8701
43.25,1,9209
64.87,1,9613
97.31,1,10081
145.96,1,10509
218.95,1,10767
328.42,1,10865
492.63,1,11231
738.95,1,11371
