Index,ZP2_Coeff,FAM159B_Coeff,PRORY_Coeff,ALK_Coeff,EXOSC6_Coeff,ERVV-1_Coeff,SLC5A11_Coeff,MEI4_Coeff,CYP17A1_Coeff,VSTM2A_Coeff,ABCC11_Coeff,TBC1D26_Coeff,MAGEB1_Coeff,VAC14_Coeff,APITD1-CORT_Coeff,ERVV-2_Coeff,STAC2_Coeff,DNAJC28_Coeff,DDX19B_Coeff,DTNB_Coeff,NTSR2_Coeff,DEFB133_Coeff,PDP2_Coeff,NECAB3_Coeff,LYZL2_Coeff,PCDH8_Coeff,SQSTM1_Coeff,GCDH_Coeff,CAPN13_Coeff,C1QL2_Coeff,ACYP2_Coeff,PIK3R2_Coeff,TBC1D3D_Coeff,GPR26_Coeff,ALDH1A2_Coeff,ASAP3_Coeff,PIK3R3_Coeff,PDE6A_Coeff,TMEM233_Coeff,LHX3_Coeff,CYP4B1_Coeff,DDX28_Coeff,TRAPPC12_Coeff,CPXCR1_Coeff,ATP6V0D1_Coeff,EPHX1_Coeff,TMEM53_Coeff,CAMP_Coeff,GATB_Coeff,SOX3_Coeff,ZIM2_Coeff,SLC5A5_Coeff,IFNB1_Coeff,DHDDS_Coeff,DDX19A_Coeff,CBR3_Coeff,ATPAF1_Coeff,ALDH4A1_Coeff,GPATCH3_Coeff,OSGIN1_Coeff,ACSL1_Coeff,PSKH2_Coeff,HSDL1_Coeff,SLC30A3_Coeff,ERP27_Coeff,NRL_Coeff,USP51_Coeff,FAM221B_Coeff,HRH3_Coeff,SGF29_Coeff,VPS11_Coeff,TEX43_Coeff,PLEKHD1_Coeff,ACR_Coeff,SPRY3_Coeff,DCT_Coeff,ZBTB8B_Coeff,REN_Coeff,ABAT_Coeff,CRHR1_Coeff,SLC38A7_Coeff,DUS2_Coeff,ACSM5_Coeff,ASIC5_Coeff,LECT1_Coeff,RNF180_Coeff,TMEM25_Coeff,DHODH_Coeff,C2orf80_Coeff,CDADC1_Coeff,VPS4A_Coeff,HAGH_Coeff,CPA5_Coeff,PEF1_Coeff,BBS5_Coeff,TMEM268_Coeff,KLB_Coeff,ANKRD30BL_Coeff,RGS7BP_Coeff,TCP10L2_Coeff,Intercept,ZP2,FAM159B,PRORY,ALK,EXOSC6,ERVV-1,SLC5A11,MEI4,CYP17A1,VSTM2A,ABCC11,TBC1D26,MAGEB1,VAC14,APITD1-CORT,ERVV-2,STAC2,DNAJC28,DDX19B,DTNB,NTSR2,DEFB133,PDP2,NECAB3,LYZL2,PCDH8,SQSTM1,GCDH,CAPN13,C1QL2,ACYP2,PIK3R2,TBC1D3D,GPR26,ALDH1A2,ASAP3,PIK3R3,PDE6A,TMEM233,LHX3,CYP4B1,DDX28,TRAPPC12,CPXCR1,ATP6V0D1,EPHX1,TMEM53,CAMP,GATB,SOX3,ZIM2,SLC5A5,IFNB1,DHDDS,DDX19A,CBR3,ATPAF1,ALDH4A1,GPATCH3,OSGIN1,ACSL1,PSKH2,HSDL1,SLC30A3,ERP27,NRL,USP51,FAM221B,HRH3,SGF29,VPS11,TEX43,PLEKHD1,ACR,SPRY3,DCT,ZBTB8B,REN,ABAT,CRHR1,SLC38A7,DUS2,ACSM5,ASIC5,LECT1,RNF180,TMEM25,DHODH,C2orf80,CDADC1,VPS4A,HAGH,CPA5,PEF1,BBS5,TMEM268,KLB,ANKRD30BL,RGS7BP,TCP10L2,OS_MONTHS,TUMOR_STAGE,SMOKING,OS_STATUS
107,0.000867073,0.000914397,0.000609806,0.000217629,0.000985599,0.000309218,0.000597262,0.000425489,0.000317245,4.87334E-05,0.000387318,0.000146036,0.000512836,0.000628993,0.000234293,0.00033111,0.000999053,0.000495662,0.000599294,0.000575771,7.49079E-05,0.000158572,0.000525381,0.001417198,0.000353692,0.000584611,0.001520696,0.000544923,0.003744091,0.000944126,0.000267246,0.00022915,0.000194407,0.000172587,0.001951123,0.001650249,0.001102374,0.000201497,0.000605497,5.25264E-05,0.003901917,0.000326016,0.000568832,0.000168839,0.000474645,0.001437261,0.000111812,0.000190013,0.000319487,6.71729E-05,0.000111535,0.000836376,0.000149812,0.000782154,0.000794977,0.000692439,0.000795482,0.001593319,0.000726901,0.002753989,0.000454668,4.52536E-05,0.000950654,0.000254451,0.00148066,-1.34744E-05,0.000664697,0.000202508,5.89757E-05,0.000463597,0.000767554,0.000148953,0.000433236,0.000253285,0.00058694,0.000150096,0.00019482,0.000910223,0.000592569,0.000481082,0.00063566,0.000569469,-8.14653E-05,0.000199668,0.001896466,0.000676939,0.001061948,0.000803319,0.000133982,0.00021624,0.000642938,0.000684471,-7.61717E-05,0.000459982,0.000179166,0.000275975,0.000610168,9.4729E-05,0.000683263,9.02407E-05,-0.026675366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,0
344,0.001247643,0.001256401,0.000946048,0.000748112,0.000895744,0.000843515,0.000754306,0.000667945,0.000422107,7.22045E-05,0.000559869,0.000194549,0.000794392,0.000987862,0.000407586,0.000481715,0.001474546,0.000593257,0.000334725,0.001342572,0.000150041,0.000237291,0.000583766,0.00078892,0.000452756,0.000873778,0.001084562,0.000587015,0.004143766,0.00277074,0.000583998,0.000438794,0.000307624,0.000258425,0.002427374,0.000902756,0.001688701,0.000293776,0.000340504,9.63347E-05,-0.001238329,0.000564662,-0.00010827,0.000190936,0.000540812,0.001056067,0.00063665,0.001611902,0.000376189,6.73505E-05,0.000123796,0.000636895,0.000270369,0.000837222,0.000233953,0.002376769,0.000415743,0.000839232,0.001007652,0.002176872,0.001966162,4.69414E-05,0.000463658,0.000247996,0.001018788,0.000463554,0.00059842,0.00033114,2.21974E-06,0.00020775,0.000937176,0.000209075,0.000558206,0.000229501,0.000500481,0.000299205,7.51864E-05,0.000852028,-0.000985635,0.000805015,0.00092173,0.000319246,0.000403935,0.00025725,0.002025149,0.000138633,0.0004071,0.000520101,0.000147843,0.000307573,0.000478059,-0.000495348,9.22378E-05,0.00062044,0.000433838,0.000396957,0.000434909,0.000137497,0.000502645,0.000113753,-0.035939934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0
50,0.002540798,0.002587589,0.001785602,0.001559802,0.001906873,0.00163442,0.001692699,0.001255251,0.000860713,-0.000176361,0.001208183,0.000441414,0.00150948,0.002628715,-0.000216228,0.000853669,0.003152434,0.000374061,0.001039705,0.001719488,-4.23231E-05,0.000500155,0.001960748,-0.000514001,0.000995943,0.001790841,0.003731703,0.004481326,0.007669783,-0.000802595,0.00164153,-0.000306769,0.000601582,0.00054484,0.006261334,-0.000370457,0.001399642,0.000779667,0.002825964,-0.000661506,0.010622899,0.002371128,-0.00068699,0.000589975,0.00162088,0.001712743,0.000177517,0.003381842,0.002082932,0.000225263,0.000315662,0.005068881,0.00037975,-6.49249E-05,0.002497901,0.000136213,0.000610012,0.000243543,-0.000469609,0.001802018,0.005345344,0.0001835,-0.000559039,0.000693628,-0.000463498,0.000589117,0.002639721,0.000659792,7.29681E-05,0.00028795,0.000346255,0.000466356,0.001203283,0.000735999,0.000788173,8.28933E-05,0.000227551,0.002778093,0.001801639,0.001500219,0.001619509,0.001073122,0.001568374,0.000578213,0.003148561,0.004384466,0.001192661,0.001047681,0.000444177,0.001101192,0.000335243,0.001710708,-0.000183696,0.000468598,0.000743343,-0.002329242,0.000993252,0.000322879,0.002518146,0.000158745,-0.129391534,-0.018799475,-0.019070727,-0.013246123,-0.011380626,-0.022983601,-0.012396367,-0.012928875,-0.009335297,-0.00670684,-0.001630728,-0.0092048,-0.003585636,-0.011222921,-0.021462565,-0.002659554,-0.006118627,-0.023186472,-0.004420928,-0.012768574,-0.011981938,0.001081279,-0.003827126,-0.020194558,0.003190805,-0.007874044,-0.01328784,-0.021330684,-0.035782409,-0.063862557,0.019664628,-0.009343292,0.004921891,-0.00451483,-0.004206217,-0.045102597,0.00429883,-0.016159772,-0.006100994,-0.020976132,0.006743177,-0.080632457,-0.023968351,0.00581422,-0.004496451,-0.01324416,-0.03034293,0.001626425,-0.022359639,-0.01540637,-0.001941745,-0.002330202,-0.036087416,-0.002458022,0.00132669,-0.025683288,-0.008743371,-0.001836894,-0.003167298,0.003324917,-0.041381128,-0.035738197,-0.001483594,-0.0044016,-0.005834347,0.015804405,-0.004468593,-0.019359899,-0.003916214,-0.001452707,0.002647611,-0.000718636,-0.003637428,-0.00849616,-0.005230114,-0.011482356,0.000614028,-0.001081307,-0.021057642,-0.026289795,-0.011272041,-0.013348725,-0.006233409,-0.011701639,-0.005098756,-0.043857224,-0.033935352,-0.01411495,-0.012483951,-0.003461793,-0.008103226,-0.004623726,-0.015543711,0.000615593,-0.004922004,-0.003246891,0.024230766,-0.009088953,-0.002538919,-0.019329442,-0.002450681,-0.136498336,Stage I,4,0
175,0.000738857,0.000769645,0.00054473,0.00038623,0.001372468,0.00052173,0.000545008,0.000399886,0.000355024,0.000119076,0.00033767,0.000175232,0.000471862,0.000365577,0.00041233,0.000333994,0.000866569,0.000463332,0.001109915,0.000857311,6.94792E-05,0.000199491,0.000451557,0.001200091,0.00034733,0.000310812,0.000977606,0.00057413,0.002204063,0.001530723,0.000675468,0.000253336,0.000134995,0.000208448,0.001302093,0.001406661,0.001518966,0.000240782,0.000685335,0.000130967,0.00388777,0.000701338,0.000718617,0.000105863,0.00092267,0.001372169,0.000399701,0.001173331,0.000242985,0.000129184,0.000160089,0.001396185,0.000137862,7.05452E-05,0.000962544,0.00083967,2.3089E-05,0.001063018,0.000753167,0.001468754,5.51871E-05,0.000112664,0.000723783,0.000271366,0.002287763,0.000554256,0.000628154,0.000333446,0.000104567,0.000699685,8.47989E-05,0.000191978,0.000464967,0.000266659,0.000409028,0.000241064,0.000242607,0.000643427,-3.07471E-05,0.000479421,0.000152101,0.000607254,2.58755E-05,0.000212175,0.001292343,0.001058437,0.000489674,0.000314307,0.000144617,0.000507567,0.000467282,0.000867087,0.000177981,0.000594815,-3.92913E-06,0.000495498,0.0006139,0.000149693,0.000639048,0.00014632,-0.025454926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stage I,4,0
5,9.45294E-06,1.08545E-05,7.43758E-06,3.4312E-07,6.69708E-06,7.49629E-06,7.33144E-06,6.32445E-06,-9.47585E-06,-4.3206E-07,6.42355E-06,6.82125E-07,6.76171E-06,5.09203E-06,2.49848E-06,6.14959E-06,1.14482E-05,6.3269E-06,5.81194E-06,7.27361E-06,1.99551E-06,4.6644E-06,1.73608E-06,-7.67387E-06,5.77041E-06,7.51362E-06,1.86755E-05,6.59973E-06,2.25855E-05,2.16322E-05,-4.85783E-06,3.36059E-06,4.80607E-07,5.53446E-06,-1.1509E-06,-5.04984E-06,-8.18334E-06,-1.62139E-06,7.3525E-06,4.36297E-07,-7.78977E-05,9.20026E-06,2.82572E-06,6.01558E-06,-1.17577E-05,-6.08416E-06,9.24089E-06,-1.97374E-06,7.45667E-06,-4.26425E-07,2.1418E-06,2.09419E-05,5.07449E-06,1.08451E-05,5.09573E-06,3.81456E-05,9.84569E-06,9.52231E-06,6.30378E-06,5.17165E-06,-1.98095E-05,-7.13726E-07,-2.15338E-06,7.98691E-06,-1.04469E-05,1.21229E-05,9.78262E-06,2.67805E-06,-2.95488E-06,1.2416E-05,8.61352E-06,4.39857E-06,8.85098E-06,-6.54879E-06,7.14208E-06,7.16239E-06,6.26174E-06,1.28173E-05,-1.0942E-05,1.72768E-05,1.41202E-05,1.33596E-05,-8.78763E-06,7.81774E-06,6.41789E-05,-1.30729E-05,-1.58042E-05,1.08609E-05,3.87438E-06,-8.55623E-06,-5.90871E-06,-6.06335E-06,9.03292E-07,-4.28408E-08,7.18282E-06,-1.96894E-05,-1.92005E-05,1.71991E-06,1.93994E-05,1.09794E-06,-0.000321732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stage IA,4,0
8,0.000144021,0.00015059,0.000100291,2.35314E-06,0.000140796,7.72729E-05,9.811E-05,6.94524E-05,4.86029E-05,3.87351E-06,5.98036E-05,2.21133E-05,8.41358E-05,8.26904E-05,4.19285E-05,5.68985E-05,0.000164981,9.728E-05,9.88654E-05,8.6073E-05,1.06507E-05,2.45436E-05,8.63329E-05,0.000247773,5.88598E-05,9.7572E-05,0.000197619,5.56384E-05,0.000653767,0.000261828,4.24154E-05,3.25284E-05,2.92844E-05,2.72186E-05,0.00034521,0.000219064,0.000172151,2.28662E-05,0.000102254,3.66859E-06,0.000459546,3.92451E-05,8.02992E-05,1.9574E-05,7.48164E-05,0.000325295,8.64005E-05,5.90621E-05,4.51919E-05,7.05161E-06,1.48694E-05,0.000213237,2.18709E-05,0.00012161,9.45894E-05,0.000143131,0.000153527,0.000200664,0.000114401,0.000413167,5.1571E-05,3.21259E-06,0.000161005,4.23476E-05,0.000425731,3.73261E-05,9.28758E-05,4.74376E-05,5.44165E-06,0.000107942,0.000111372,2.25786E-05,6.96647E-05,4.34487E-05,0.000108722,2.24644E-05,3.2207E-05,0.000162099,6.7892E-05,8.52438E-05,4.59307E-05,8.34322E-05,-2.05928E-05,3.39174E-05,0.000340488,0.00015932,0.000168453,0.000136069,1.81438E-05,2.73099E-05,7.76718E-05,0.000108525,-1.10291E-05,7.57792E-05,2.78034E-05,4.57972E-05,0.000102331,1.32975E-05,0.000115704,1.17117E-05,-0.004368409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stage IA,4,0
17,0.001833019,0.001867093,0.001319195,0.001109425,0.000791369,0.001272039,0.000880198,0.000950295,0.000688677,0.000177048,0.000162432,0.000205521,0.001119105,-0.000642134,-0.00045755,0.000818812,0.002101835,0.001403133,0.001067969,0.002111565,0.000277384,0.000392301,0.001280604,0.003971744,0.000789351,0.001322733,-0.002895913,0.001421289,0.010741366,-0.000342336,8.82877E-06,0.000667885,0.000482206,0.00042288,0.004250498,0.003426281,0.002330538,0.000488443,0.002325826,0.000211483,0.008299931,0.000862243,0.0004868,0.000452711,-0.00086987,-0.0008866,0.002633655,0.002758229,0.001514093,0.000206478,0.000271944,0.003878789,0.000216815,-7.33888E-06,-0.000612443,-0.001225876,0.002238677,0.000593384,0.000347339,-0.003995245,0.002150317,0.000162823,0.000895483,0.000507859,-0.000806719,0.001407548,0.001541834,0.000744007,0.000109974,0.003127688,-0.000343894,0.000370258,0.001074818,0.000329655,-0.001250231,0.000502117,0.000503057,0.000384628,0.000392137,0.001168536,-0.002378189,0.000160886,0.000329861,-0.000190801,0.004275816,0.0014605,-0.000677298,0.000867349,3.95691E-05,-0.000253901,0.000401371,0.001454052,-0.000217314,0.0001292,-0.000470528,0.0031297,0.000778571,0.000264658,0.001626022,0.00025615,-0.103439703,-0.017344949,-0.01766584,-0.01250459,-0.010530471,-0.007491487,-0.012058698,-0.008356472,-0.009025894,-0.006550703,-0.001699257,-0.001546505,-0.001969714,-0.010622487,0.006168756,0.00439887,-0.007786027,-0.019903612,-0.013334359,-0.010158679,-0.020016649,-0.002668593,-0.003742478,-0.012176582,-0.037633923,-0.007507162,-0.012543397,0.02748076,-0.013513914,-0.101567315,0.003356642,-0.0000716,-0.006466312,-0.0046694,-0.004095131,-0.041004226,-0.033106863,-0.022539136,-0.004722932,-0.022493086,-0.002042941,-0.079718551,-0.00828802,-0.004700821,-0.004365124,0.008435331,0.008658101,-0.025309934,-0.026518069,-0.014582153,-0.001988585,-0.002618608,-0.03725528,-0.002072646,9.42E-05,0.005945615,0.011901501,-0.02155053,-0.005684088,-0.00333352,0.03845531,-0.02064038,-0.001562385,-0.008601526,-0.004884662,0.007704047,-0.013568366,-0.01482887,-0.007210699,-0.001050407,-0.030068423,0.003355319,-0.00356601,-0.010426574,-0.003172253,0.012085535,-0.004834393,-0.004840515,-0.003665044,-0.003781621,-0.011242623,0.022909518,-0.001535903,-0.003240654,0.001875197,-0.040980859,-0.014096359,0.006576491,-0.008360192,-0.000360921,0.002473771,-0.003878125,-0.014013995,0.00212298,-0.001214682,0.004569102,-0.030077475,-0.007464584,-0.00254411,-0.015683299,-0.002462027,-0.137331128,Stage IA,4,0
18,0.001591317,0.00175192,0.001212591,0.000817593,0.001261038,0.001001041,0.001068775,0.000834287,0.000128758,8.40228E-05,0.000739935,0.000274999,0.000984551,0.000972081,0.000494025,0.00045327,0.001441826,0.000607987,0.000732311,0.000285208,0.000167679,0.00027972,0.000723103,0.00124725,0.000694983,0.000604778,0.002249915,0.001120047,0.003538586,0.002267395,0.000997778,0.000361951,0.000297694,0.000185643,0.002006403,0.001781718,0.002561436,0.000365515,0.000677495,0.000114052,0.000282187,0.001263007,0.000496225,0.000323133,0.000822503,-0.000149923,0.000954405,0.000987763,0.000617981,-3.00267E-05,0.000211053,0.002987851,0.000298762,0.000512254,0.000462444,0.002489302,0.000471022,0.000648738,0.000516772,0.002414244,0.002183147,7.84061E-05,-0.000159034,-0.000368604,0.003145646,0.000359631,0.00085714,0.000630883,9.95008E-05,0.000662968,0.000246313,0.000229699,0.000693845,0.000305971,0.001345525,0.00035614,0.000311872,0.001573478,-0.000338,0.000897922,0.000692847,0.000668953,0.000365301,0.000375514,0.000248045,0.000598353,0.000133092,0.001082526,0.000192576,0.000188898,0.000519036,0.000182638,8.86631E-05,0.000927911,0.000759704,-0.000348806,0.000460283,0.00017373,0.001038759,0.000144789,-0.074598738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stage IA,3,0
19,0.001177094,0.001236112,0.000872229,0.000570375,0.001187191,0.000697002,0.000772483,0.000602632,-6.07332E-05,8.1584E-05,0.000545562,0.000203965,0.000707215,0.000674384,0.0003942,0.00031073,0.000805882,0.000831026,0.0004599,0.00027514,0.000149851,0.000171052,0.000920669,0.000791785,0.0005102,0.000468948,0.002053325,0.00079493,0.00277555,0.001340558,0.000736868,0.000251861,0.000222146,0.000168412,0.001139874,0.001115405,0.001811619,0.000258508,0.000401212,0.000105346,0.001369405,0.001160299,0.000307917,0.000251616,0.00067338,0.001085,0.000854657,0.000382061,0.000502285,-6.51268E-06,0.000168139,0.002921246,0.000216004,0.000466006,0.000508973,0.003542649,0.000547497,0.00071501,0.000514447,0.003126707,0.001739459,7.65013E-05,0.000108492,5.02996E-05,0.001681718,0.000366746,0.000570705,0.00044547,8.92165E-05,0.000482135,0.000175674,0.000194295,0.000459589,0.000226694,0.000917795,0.000257921,0.000241054,0.001029411,6.45467E-05,0.000652035,0.000474026,0.00060031,0.00023756,0.000322167,0.002107693,0.000579381,-0.00030816,0.00093627,0.000153244,0.000113898,0.000354203,0.000416389,6.40518E-05,0.000710357,0.000629722,-0.000273175,0.000485284,0.000145176,0.00077076,0.000125326,-0.053517163,-0.010152829,-0.015246818,-0.009018936,-0.006239184,0.002317718,-0.008783748,-0.00831569,-0.00605019,-0.004808026,0.000869076,-0.004797573,-0.000823345,-0.007296615,-0.015231586,-0.002228142,-0.004700957,-0.015243472,0.020643427,-0.01110604,0.000332265,0.000393451,-0.001000685,0.011585918,-0.000300883,-0.004445766,-0.003748691,0.005268662,-0.009050745,-0.015022598,-0.033591242,-0.002817915,-0.00280623,-0.001848916,-0.001237145,-0.037984126,-0.015418584,-0.024444969,-0.002708491,-0.012770079,0.000764065,0.056366131,0.003461324,-0.002529184,-0.001174374,-0.004687612,0.073664093,0.005620066,-0.025342055,-0.004792299,0.001116596,-0.000335091,0.021607251,-0.001810249,0.000812494,0.003122612,0.082589005,0.014275162,0.014088684,0.002901545,0.067954617,-0.005661015,0.000994329,0.013632415,0.015603075,-0.057279234,0.002514874,-0.013847442,-0.003693007,0.000938754,-0.004321454,-0.002315709,0.000501396,-0.003764747,-0.002303812,-0.006771086,-0.00232275,-0.00151423,-0.018235969,0.015755309,-0.007864104,-0.01340271,0.000763743,-0.002720624,0.000515739,0.106416128,0.002401969,-0.022614866,-0.000918246,-0.000240058,-0.002429905,-0.007858271,0.016887218,-0.000862562,-0.005305849,-0.001739208,-0.002354578,0.010186503,0.0000959,-0.007718739,0.000469501,-0.149762364,Stage IA,3,0
20,0.00134847,0.001493447,0.001024464,0.000675718,0.001148089,0.000845296,0.00091285,0.000704753,2.04429E-05,6.69227E-05,0.000626561,0.000217866,0.000830375,0.000931604,0.000431813,0.000390035,0.001063111,0.000482775,0.000647427,0.000269644,0.000143216,0.000187931,0.000725147,0.000797109,0.000585245,0.000532224,0.001964473,0.000947768,0.003029005,0.001907298,0.000784512,0.000299206,0.000253368,0.00018928,0.001780795,0.001375852,0.002224418,0.000304238,0.00061675,9.24571E-05,0.000418878,0.001102073,0.00035061,0.00027144,0.000752691,-0.000157977,0.000759895,0.000809582,0.000583315,-2.53508E-05,0.000173805,0.00255654,0.00024656,0.000452386,0.00045637,0.002149374,0.000306659,0.000477616,0.000465605,0.001979897,0.001835605,5.97263E-05,-0.000121635,-0.000213082,0.00264866,0.000324346,0.000804523,0.000507802,7.33804E-05,0.000555059,0.000214736,0.000185843,0.000523121,0.000265619,0.001032079,0.000297131,0.000266621,0.00133732,-0.000201277,0.000784751,0.000700249,0.000587652,0.000283604,0.000313483,0.000311813,0.000538762,7.34189E-05,0.000951976,0.000157294,0.000155035,0.000486912,0.000131563,7.86387E-05,0.000800107,0.000659137,-0.000233417,0.000313474,0.000143565,0.000901057,0.000117407,-0.044997335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stage IA,3,0
